CHANNEL,METRIC_NAME,MEAN_LIFT,STD_LIFT,COUNT,CV,IS_CONSISTENT
OTT,Affinity ,0.007747739565,0.009080591874855087,4,1.172031119357209,False
OTT,Aided Awareness,-0.0022220986914825,0.004413312444789574,4,1.9861010051921586,False
OTT,BA MDS: Is different,0.0095996600525,0.012149771002739656,4,1.2656459641584434,False
OTT,BA MDS: Meets needs,-0.0050554395380000006,0.006088721396147671,4,1.20439011294287,False
OTT,BA MDS: Sets trends,0.0005930045194999999,0.0027441134128983616,4,4.627474703248635,False
OTT,BA: Has my favorite brands or stores,0.00075389021625,0.0008902991380426988,4,1.1809400345732353,False
OTT,BA: Is a brand I trust,0.0036516482420000003,0.004216851102776355,4,1.1547802042583362,False
OTT,BA: Is an essential part of my life,0.024301658338,0.04282935138107317,4,1.7624044740231493,False
OTT,BA: Makes my life easier,-0.0010251763857500001,0.0023096667570038,4,2.2529457263240515,False
OTT,BA: Offers a wide selection of brands or stores across a variety of categories,-0.0070012283565,0.012002504170378948,4,1.7143426209253296,False
OTT,Brand Familiarity,0.0020566534515,0.0031514177051994966,4,1.5323037057609492,False
OTT,Brand Favorability,0.0118694836,0.01531704431962865,4,1.2904558307514449,False
OTT,Consideration (Top 2 Box),0.006340598002,0.013431744879466507,4,2.1183719382982114,False
OTT,DashPass Actions – Saw a Deal,0.0377408673275,0.10574874818504647,4,2.8019692093295463,False
OTT,DashPass Actions – Talked to others,-0.004414812024999999,0.04259922808492852,4,9.649160110034023,False
OTT,DashPass Aided Awareness,-0.006642924768250001,0.00963216229715671,4,1.4499881653325104,False
OTT,DashPass Aided Awareness (DD aware non-users),-0.0850353665775,0.12663375994788698,4,1.4891893225682142,False
OTT,DashPass Aided Awareness (DD users),0.009431525409500001,0.01655034545652257,4,1.7547898921898746,False
OTT,DashPass Benefit Awareness: $0 Delivery + 1 Other Benefit (DP aware non-users),-0.09477503545,0.12813320574997722,4,1.3519721215781113,False
OTT,DashPass Benefit Awareness: $0 Delivery + 1 Other Benefit (DP users),0.020816917679999998,0.07130233782001036,4,3.425211115116941,False
OTT,DashPass Benefits Awareness: $0 delivery fees + 1 Other Benefit,0.013124052689500001,0.032656255703499115,4,2.4882752664979777,False
OTT,DashPass Benefits Awareness: $0 delivery fees on eligible orders,0.01160392785425,0.0271314982867691,4,2.338130556097179,False
OTT,DashPass Benefits Awareness: Ability to add someone in your household to your DashPass membership for free,0.0011377469825,0.005080579339362014,4,4.465473798223863,False
OTT,DashPass Benefits Awareness: Access to exclusive deals for DashPass members,0.0121173970975,0.03228146795385896,4,2.664059590860409,False
OTT,DashPass Benefits Awareness: Discounted rides with Lyft,0.0231898818975,0.05793128203373543,4,2.4981275148270914,False
OTT,DashPass Benefits Awareness: Max [HBO] subscription included at no extra cost,0.0759155879125,0.14396213516896475,4,1.8963448631247501,False
OTT,DashPass Benefits Awareness: Reduced service fees on eligible orders,0.01862363628,0.0549477428180313,4,2.950430409610174,False
OTT,DashPass Benefits: Consistently adds valuable perks and benefits for members,0.0151659779915,0.03192974646794281,4,2.1053536069904832,False
OTT,DashPass Benefits: Makes members' lives better,0.0452965100325,0.0826400386279798,4,1.8244239692790023,False
OTT,"DashPass Benefits: Provides more value than other non-delivery subscription services (e.g. TV streaming, audio streaming, fitness, fashion, etc)",0.02187285728,0.03134147513011537,4,1.43289350489994,False
OTT,DashPass Benefits: Save more than other delivery subscription services,0.015100484580999999,0.02664122939626663,4,1.7642632097904747,False
OTT,DashPass Benefits: Saves subscription members more money than non-members who use the delivery service,0.010979832781000001,0.0232702296154877,4,2.1193610212129603,False
OTT,DashPass Worth,0.023097887206,0.04943999108409333,4,2.140455126616542,False
OTT,First Choice Consideration,-0.025380712567499998,0.029496878982155958,4,1.1621769445483068,False
OTT,More than Restaurant Aided Awareness,-0.0121253229,0.014074358015679465,4,1.160740883500881,False
OTT,More than Restaurant Aided Awareness: Alcoholic Beverages,-0.0217175472475,0.03159204146432177,4,1.4546781505429194,False
OTT,More than Restaurant Aided Awareness: Baby Supplies,-0.01306045932675,0.023622160859601265,4,1.8086776482063796,False
OTT,More than Restaurant Aided Awareness: Flowers,-0.01595805666,0.01906859808196816,4,1.1949198131226688,False
OTT,More than Restaurant Aided Awareness: Fresh Food & Produce,-0.0012512733249999998,0.022270817496107237,4,17.798523353086935,False
OTT,More than Restaurant Aided Awareness: Health & Medicine,-0.0241780398725,0.02987500690350053,4,1.2356256777241994,False
OTT,More than Restaurant Aided Awareness: Household Essentials,-0.0112701627125,0.01305996984290946,4,1.1588093425150237,False
