survey_month,GROUP_NAME,avg_lift,std_lift,count,min_lift,max_lift
2025-02,Tv,0.13440146169354839,0.4935740414329819,3968,-1.0,10.616
2025-02,Any,0.08099269153225806,0.395656014196633,3968,-1.0,7.802
2025-02,Social,0.06320413306451612,0.4335624836022483,3968,-1.0,9.011
2025-02,Digital,0.0033377016129032258,0.5471366779525371,3968,-1.0,7.597
2025-03,Tv,0.10157132056451613,0.44208124767721135,3968,-1.0,11.423
2025-03,Any,0.06833492943548387,0.3903107705081758,3968,-1.0,7.58
2025-03,Social,0.056864415322580644,0.4277695580813758,3968,-1.0,13.101
2025-03,Digital,0.04056376008064516,0.43161638380046013,3968,-1.0,3.8
2025-04,Any,0.1269775705645161,0.6141707518093514,3968,-1.0,18.694
2025-04,Tv,0.09187852822580646,0.34142577189455103,3968,-1.0,5.479
2025-04,Social,0.06523084677419355,0.5240069298703451,3968,-1.0,11.914
2025-04,Digital,0.031755292338709676,0.33418029297064644,3968,-1.0,3.34
