TIME_DATE,METRIC_NAME,CHANNEL,LIFT_mean,LIFT_std,LIFT_count,DELTA_mean,EXPOSED_PERCENT_mean,CONTROL_PERCENT_mean,SIGNIFICANCE_LEVEL_mean,EXPOSED_POPULATION_sum,CONTROL_POPULATION_sum
2025-10-01,More than Restaurant Aided Awareness: Packaged Food & Non-Alcoholic Beverages,Other,-0.02626665065,,1,-0.01090486759,0.4042553191,0.4151601867,0.2462074897,470,348
2025-10-01,More than Restaurant Aided Awareness: Personal Care & Beauty,Other,-0.1504438156,,1,-0.05199522505,0.2936170213,0.3456122463,0.8862790517,470,348
2025-10-01,More than Restaurant Aided Awareness: Pet Supplies,Other,-0.05338808668,,1,-0.01631974774,0.2893617021,0.3056814499,0.3866964956,470,348
2025-10-01,More than Restaurant Aided Awareness: Prepared Restaurant Food,Other,0.04263601102,,1,0.02175133894,0.5319148936,0.5101635547,0.4619493392,470,348
2025-10-01,More than Restaurant Consideration,Other,-0.05898375394,,1,-0.03734181829,0.5957446809,0.6330864991,0.7213534468,470,348
2025-10-01,More than Restaurant Consideration: Alcoholic Beverages,Other,-0.1792478946,,1,-0.05994237001,0.2744680851,0.3344104551,0.9356122015,470,348
2025-10-01,More than Restaurant Consideration: Baby Supplies,Other,-0.05222164377,,1,-0.01324720743,0.2404255319,0.2536727393,0.3363632604,470,348
2025-10-01,More than Restaurant Consideration: Flowers,Other,-0.0007719883732,,1,-0.0001873929089,0.2425531915,0.2427405844,0.004931915089,470,348
2025-10-01,More than Restaurant Consideration: Fresh Food & Produce,Other,-0.04656153957,,1,-0.01506623751,0.3085106383,0.3235768758,0.3535181215,470,348
2025-10-01,More than Restaurant Consideration: Health & Medicine,Other,0.02204795922,,1,0.005461931196,0.2531914894,0.2477295582,0.1413986131,470,348
2025-10-01,More than Restaurant Consideration: Household Essentials,Other,-0.005590295713,,1,-0.001542983493,0.2744680851,0.2760110686,0.03896596633,470,348
2025-10-01,More than Restaurant Consideration: Packaged Food & Non-Alcoholic Beverages,Other,0.05210986126,,1,0.01823085643,0.3680851064,0.34985425,0.4086953716,470,348
2025-10-01,More than Restaurant Consideration: Personal Care & Beauty,Other,0.007981841465,,1,0.002122868419,0.2680851064,0.265962238,0.05408560294,470,348
2025-10-01,More than Restaurant Consideration: Pet Supplies,Other,0.01494101097,,1,0.00378989079,0.2574468085,0.2536569177,0.09774956582,470,348
2025-10-01,More than Restaurant Consideration: Prepared Restaurant Food,Other,0.007216268197,,1,0.003384114513,0.4723404255,0.468956311,0.07637306375,470,348
2025-10-01,Unaided Brand Awareness (Any Mention),Other,0.03052004832,,1,0.01172043843,0.3957446809,0.3840242424,0.2658892955,470,348
2025-10-01,Unaided Brand Awareness (Any Mention) - Amazon,Other,-0.05955786358,,1,-0.01212695267,0.1914893617,0.2036163144,0.3338410672,470,348
2025-10-01,Unaided Brand Awareness (Any Mention) - GrubHub,Other,0.3059719486,,1,0.02193322946,0.09361702128,0.07168379181,0.7357169021,470,348
2025-10-01,Unaided Brand Awareness (Any Mention) - Instacart,Other,0.100801463,,1,0.01811936309,0.1978723404,0.1797529773,0.4861645584,470,348
2025-10-01,Unaided Brand Awareness (Any Mention) - Uber Eats,Other,0.05289714844,,1,0.0161408128,0.3212765957,0.3051357829,0.3769860671,470,348
2025-10-01,Unaided Brand Awareness (First Mention),Other,0.01073700698,,1,0.002599232033,0.2446808511,0.242081619,0.06823521162,470,348
