TIMESTAMP,TIMESTAMP_DATE,METRIC_CLEAN,LIFT_mean,LIFT_std,LIFT_count,LIFT_min,LIFT_max,DELTA_mean,DELTA_std,CONTROL__mean,EXPOSED__mean,CONTROL_N_sum,EXPOSED_N_sum,STATISTICAL_SIGNIFICANCE_mean,STATISTICAL_SIGNIFICANCE_min
2025-02-01,2025-02-01,Unaided Brand Awareness (Any Mention),0.0312109375,0.4525442784505548,256,-1.0,3.845,-0.010062499999999999,0.13807930372668842,0.37984765625,0.36981640625,34583,94174,0.63328273999375,0.003688124
2025-02-01,2025-02-01,Unaided Brand Awareness (Any Mention) - Amazon,0.25030078125,0.7278590949607173,256,-1.0,4.927,0.025140625,0.16321705670069903,0.226375,0.2515,34583,94174,0.5678538057924528,0.003929291
2025-02-01,2025-02-01,Unaided Brand Awareness (Any Mention) - GrubHub,0.02515625,0.6668419918967783,256,-1.0,7.142,-0.011980468749999999,0.08757354113675196,0.11370703125,0.10178515625,34583,94174,0.5895287716064517,0.024192903
2025-02-01,2025-02-01,Unaided Brand Awareness (Any Mention) - Instacart,-0.07755859375,0.45614382458844227,256,-1.0,3.541,-0.03178515625,0.11336474507472699,0.22958984375,0.19777734375,34583,94174,0.5995927215911949,0.000408065
2025-02-01,2025-02-01,Unaided Brand Awareness (Any Mention) - Uber Eats,0.1401171875,0.5327498934381248,256,-1.0,3.912,0.0168671875,0.12493765479543914,0.34650390625,0.3633984375,34583,94174,0.7062406690249999,0.007659259
2025-02-01,2025-02-01,Unaided Brand Awareness (First Mention),0.13473046875,0.7406071446821787,256,-1.0,7.597,0.0038593750000000004,0.11592094901944443,0.20334765625,0.2072109375,34583,94174,0.5117547308037974,0.007675823
2025-02-01,2025-02-01,More than Restaurant Consideration: Flowers,0.12184375,0.3993526023207965,256,-1.0,1.573,0.0198359375,0.1219864844550653,0.259140625,0.2789375,34583,94174,0.70538183531875,0.026021071
2025-02-01,2025-02-01,DashPass Benefits: Saves subscription members more money than non-members who use the delivery service,0.038855468750000004,0.2805233040708708,256,-1.0,2.822,0.02237890625,0.11705192824661197,0.57102734375,0.593390625,34583,94174,0.7001466637225806,0.009647733
2025-02-01,2025-02-01,More than Restaurant Consideration: Alcoholic Beverages,0.1178671875,0.5829357866105618,256,-1.0,4.245,0.01422265625,0.15399167673705363,0.306546875,0.320796875,34583,94174,0.56211575853125,0.013059476
2025-02-01,2025-02-01,"DashPass Benefits: Provides more value than other non-delivery subscription services (e.g. TV streaming, audio streaming, fitness, fashion, etc)",0.0558515625,0.43005416147442455,256,-1.0,3.867,0.01608203125,0.1414257551681357,0.51126171875,0.52732421875,34583,94174,0.7017366288789809,0.003929391
