CHANNEL,METRIC_NAME,LIFT_mean,LIFT_std,LIFT_count,DELTA_mean,DELTA_std,EXPOSED_PERCENT_mean,CONTROL_PERCENT_mean,SIGNIFICANCE_LEVEL_mean
Digital,More than Restaurant Consideration: Household Essentials,0.0,0.0,2,0.3345978756,0.0,0.3345978756,0.0,0.0
Digital,More than Restaurant Consideration: Packaged Food & Non-Alcoholic Beverages,0.0,0.0,2,0.3839150228,0.0,0.3839150228,0.0,0.0
Digital,More than Restaurant Consideration: Personal Care & Beauty,0.0,0.0,2,0.3330804249,0.0,0.3330804249,0.0,0.0
Digital,More than Restaurant Consideration: Pet Supplies,0.0,0.0,2,0.3308042489,0.0,0.3308042489,0.0,0.0
Digital,More than Restaurant Consideration: Prepared Restaurant Food,0.0,0.0,2,0.466616085,0.0,0.466616085,0.0,0.0
Digital,Unaided Brand Awareness (Any Mention),0.0,0.0,2,0.4036418816,0.0,0.4036418816,0.0,0.0
Digital,Unaided Brand Awareness (Any Mention) - Amazon,0.0,0.0,2,0.2116843703,0.0,0.2116843703,0.0,0.0
Digital,Unaided Brand Awareness (Any Mention) - GrubHub,0.0,0.0,2,0.1084977238,0.0,0.1084977238,0.0,0.0
Digital,Unaided Brand Awareness (Any Mention) - Instacart,0.0,0.0,2,0.215477997,0.0,0.215477997,0.0,0.0
Digital,Unaided Brand Awareness (Any Mention) - Uber Eats,0.0,0.0,2,0.3831562974,0.0,0.3831562974,0.0,0.0
Digital,Unaided Brand Awareness (First Mention),0.0,0.0,2,0.2321699545,0.0,0.2321699545,0.0,0.0
OTT,Affinity ,0.007747739565,0.009080591874855087,4,0.29822715290949997,0.3336445647841265,0.59956442085,0.30133726795,0.1908553858
OTT,Aided Awareness,-0.0022220986914825,0.004413312444789574,4,0.454532053035545,0.5295867975084976,0.9219542402,0.46742218715,0.07494781593425
OTT,BA MDS: Is different,0.0095996600525,0.012149771002739656,4,0.3259056865145,0.36185784155249495,0.659712627375,0.33380694085,0.2389430441
OTT,BA MDS: Meets needs,-0.0050554395380000006,0.006088721396147671,4,0.32646880837425,0.38511270831003447,0.6787599348,0.352291126425,0.1535083699
OTT,BA MDS: Sets trends,0.0005930045194999999,0.0027441134128983616,4,0.335491770443,0.38626616377296674,0.69087694135,0.3553851709,0.0731384452025
OTT,BA: Has my favorite brands or stores,0.00075389021625,0.0008902991380426988,4,0.3422244032768,0.3939141071677801,0.70596300155,0.363738598275,0.026974912854999998
OTT,BA: Is a brand I trust,0.0036516482420000003,0.004216851102776355,4,0.3537236814235,0.4022337099462522,0.7218583051,0.36813462365,0.141045861325
OTT,BA: Is an essential part of my life,0.024301658338,0.04282935138107317,4,0.311146672254,0.3284360570297878,0.614009299125,0.302862626875,0.30183722895
OTT,BA: Makes my life easier,-0.0010251763857500001,0.0023096667570038,4,0.3539880039751,0.410417550732604,0.73080374875,0.376815744775,0.0244125430725
OTT,BA: Offers a wide selection of brands or stores across a variety of categories,-0.0070012283565,0.012002504170378948,4,0.35385012529375004,0.42064888275111123,0.73973562355,0.38588549827499996,0.154576970525
OTT,Brand Familiarity,0.0020566534515,0.0031514177051994966,4,0.39482812942400003,0.45196364282045554,0.8017394907,0.40691136127500005,0.131646214175
OTT,Brand Favorability,0.0118694836,0.01531704431962865,4,0.38943047281750004,0.42890577875587665,0.77528881185,0.385858339025,0.337869449075
OTT,Consideration (Top 2 Box),0.006340598002,0.013431744879466507,4,0.35227457771035,0.39703988368336535,0.712692831675,0.36041825395,0.11226887501999999
OTT,DashPass Actions – Saw a Deal,0.0377408673275,0.10574874818504647,4,0.1713050553275,0.1784438880004681,0.3282236617,0.156918606375,0.419982051725
OTT,DashPass Actions – Talked to others,-0.004414812024999999,0.04259922808492852,4,0.151755675555,0.18087946990951226,0.3118707239,0.16011504835,0.30446596722499997
OTT,DashPass Aided Awareness,-0.006642924768250001,0.00963216229715671,4,0.3989517242855,0.473447766488382,0.81979614985,0.420844425575,0.22622559679999998
OTT,DashPass Aided Awareness (DD aware non-users),-0.0850353665775,0.12663375994788698,4,0.04416466347675,0.07965594198276187,0.1089979232,0.064833259725,0.406086458325
OTT,DashPass Aided Awareness (DD users),0.009431525409500001,0.01655034545652257,4,0.35478706080625,0.3949219223243815,0.710798226675,0.35601116585000003,0.172760405725
OTT,DashPass Benefit Awareness: $0 Delivery + 1 Other Benefit (DP aware non-users),-0.09477503545,0.12813320574997722,4,0.0413242052275,0.07806729530344292,0.10479497292500001,0.0634707677,0.448274042375
OTT,DashPass Benefit Awareness: $0 Delivery + 1 Other Benefit (DP users),0.020816917679999998,0.07130233782001036,4,0.1600577450425,0.1758441045868474,0.3304617282,0.170403983175,0.3787182434
OTT,DashPass Benefits Awareness: $0 delivery fees + 1 Other Benefit,0.013124052689500001,0.032656255703499115,4,0.30878432094225,0.3403786028351669,0.617795700525,0.3090113796,0.266466743075
OTT,DashPass Benefits Awareness: $0 delivery fees on eligible orders,0.01160392785425,0.0271314982867691,4,0.317647207216,0.35161326045878716,0.6365835591,0.31893635185,0.21637262557499998
OTT,DashPass Benefits Awareness: Ability to add someone in your household to your DashPass membership for free,0.0011377469825,0.005080579339362014,4,0.24330355537099999,0.2798313397447239,0.499868650975,0.25656509562499996,0.0554223441875
OTT,DashPass Benefits Awareness: Access to exclusive deals for DashPass members,0.0121173970975,0.03228146795385896,4,0.30477623347575,0.33729959813271326,0.610847987575,0.306071754075,0.2820746729
OTT,DashPass Benefits Awareness: Discounted rides with Lyft,0.0231898818975,0.05793128203373543,4,0.2490757170205,0.26641014642320243,0.486406433375,0.23733071634999997,0.3289797914
OTT,DashPass Benefits Awareness: Max [HBO] subscription included at no extra cost,0.0759155879125,0.14396213516896475,4,0.25949750888425,0.23979723188988172,0.4687488526,0.20925134372499998,0.343422707375
OTT,DashPass Benefits Awareness: Reduced service fees on eligible orders,0.01862363628,0.0549477428180313,4,0.3027195041825,0.3296672276982584,0.600998186675,0.298278682475,0.422654087725
OTT,DashPass Benefits: Consistently adds valuable perks and benefits for members,0.0151659779915,0.03192974646794281,4,0.30496605757325,0.3331410947113099,0.6074914444,0.30252538682499996,0.187859065525
OTT,DashPass Benefits: Makes members' lives better,0.0452965100325,0.0826400386279798,4,0.32757322897600005,0.32451730518423655,0.6265681032,0.2989948742,0.38373183712500003
OTT,"DashPass Benefits: Provides more value than other non-delivery subscription services (e.g. TV streaming, audio streaming, fitness, fashion, etc)",0.02187285728,0.03134147513011537,4,0.28521367829,0.30251859634124706,0.5628158439,0.277602165625,0.33829514844999997
OTT,DashPass Benefits: Save more than other delivery subscription services,0.015100484580999999,0.02664122939626663,4,0.28872794679925,0.31470644341303317,0.5791845275,0.2904565807,0.1987276378
OTT,DashPass Benefits: Saves subscription members more money than non-members who use the delivery service,0.010979832781000001,0.0232702296154877,4,0.303411896879,0.33632692573372835,0.613325999625,0.30991410275,0.14936674625250002
OTT,DashPass Worth,0.023097887206,0.04943999108409333,4,0.1536884584615,0.163853617246397,0.305450020125,0.15176156165,0.16423410122499998
OTT,First Choice Consideration,-0.025380712567499998,0.029496878982155958,4,0.104281417105,0.13413699437089047,0.221133337775,0.116851920675,0.2696117221
OTT,More than Restaurant Aided Awareness,-0.0121253229,0.014074358015679465,4,0.3576332111375,0.43475146396759407,0.7458590533,0.38822584215,0.33822681779999997
OTT,More than Restaurant Aided Awareness: Alcoholic Beverages,-0.0217175472475,0.03159204146432177,4,0.19101918948649999,0.24237314278643118,0.411124411125,0.22010522165000002,0.278166123225
OTT,More than Restaurant Aided Awareness: Baby Supplies,-0.01306045932675,0.023622160859601265,4,0.179827155381,0.2198074636503115,0.37258034485,0.19275318947499998,0.23602128628500002
OTT,More than Restaurant Aided Awareness: Flowers,-0.01595805666,0.01906859808196816,4,0.17321335129275,0.21421562699480648,0.364559185325,0.19134583405,0.254551943025
OTT,More than Restaurant Aided Awareness: Fresh Food & Produce,-0.0012512733249999998,0.022270817496107237,4,0.22393102405,0.26074415348185453,0.452389184625,0.228458160575,0.249944140675
OTT,More than Restaurant Aided Awareness: Health & Medicine,-0.0241780398725,0.02987500690350053,4,0.18668181789,0.23880471076849832,0.39417709905,0.20749528115,0.324809765775
OTT,More than Restaurant Aided Awareness: Household Essentials,-0.0112701627125,0.01305996984290946,4,0.1893467488735,0.2295095273987243,0.3987860373,0.2094392884,0.195081365925
OTT,More than Restaurant Aided Awareness: Packaged Food & Non-Alcoholic Beverages,-0.00192946346,0.010514764383295416,4,0.23236547976849997,0.2709087180670905,0.47674464665,0.24437916687499997,0.15427506489
OTT,More than Restaurant Aided Awareness: Personal Care & Beauty,-0.02831579461,0.0385623265939059,4,0.16371202266,0.21450202081484765,0.36089850245,0.19718647977499998,0.3349484133
OTT,More than Restaurant Aided Awareness: Pet Supplies,-0.0426049244775,0.0495396138292338,4,0.16934220717499998,0.23642190214840492,0.377217280275,0.20787507312499998,0.420547779425
OTT,More than Restaurant Aided Awareness: Prepared Restaurant Food,-0.03111163508,0.04395700953475752,4,0.2601154598525,0.34560120186470117,0.576448178825,0.316332718975,0.44898187342499996
OTT,More than Restaurant Consideration,-0.005982223244,0.0076392338728438385,4,0.322139684504,0.3816366193870941,0.6659874006,0.343847716125,0.20991133317500002
OTT,More than Restaurant Consideration: Alcoholic Beverages,0.029006287865,0.08090012648755998,4,0.1918982771975,0.20335950151089927,0.371227405675,0.179329128475,0.38464816155000003
OTT,More than Restaurant Consideration: Baby Supplies,-0.040565185512500004,0.04684618923889119,4,0.131575238295,0.18283363634486088,0.296592412775,0.165017174475,0.38051367162500005
OTT,More than Restaurant Consideration: Flowers,0.054966421187499996,0.1273638589354438,4,0.18112569181475002,0.1790947516866105,0.334368942775,0.15324325095000002,0.3759625069
OTT,More than Restaurant Consideration: Fresh Food & Produce,0.0067714867335000005,0.00869526480910299,4,0.19262308060275002,0.2164789258205155,0.385584071275,0.192960990675,0.09709562505
OTT,More than Restaurant Consideration: Health & Medicine,0.0290310194325,0.09128578634625524,4,0.16987285985,0.18127495080238432,0.3304927834,0.16061992355,0.414578886
OTT,More than Restaurant Consideration: Household Essentials,-0.00714917034175,0.015667318083931795,4,0.16197648458667502,0.19330255921855782,0.3371878319,0.1752113473,0.17672011662
OTT,More than Restaurant Consideration: Packaged Food & Non-Alcoholic Beverages,0.0007007027099999999,0.017516732738998106,4,0.192968406352,0.22312904209315107,0.397581316825,0.2046129105,0.184829220225
OTT,More than Restaurant Consideration: Personal Care & Beauty,-0.050221968335,0.07882158714827527,4,0.1348666957125,0.1984715435244404,0.3156281572,0.1807614615,0.412619211875
OTT,More than Restaurant Consideration: Pet Supplies,-0.03133010721,0.036509443482995924,4,0.1456859504675,0.1935405266726113,0.321302061325,0.175616110875,0.35381998615
OTT,More than Restaurant Consideration: Prepared Restaurant Food,0.00140323357525,0.006255612339955919,4,0.25132808135375,0.2883263398665479,0.5136883142,0.26236023285,0.1049230848325
OTT,Unaided Brand Awareness (Any Mention),-0.006668286124999999,0.022035752259766745,4,0.19594057469474999,0.2344290798165855,0.4142272619,0.2182866872,0.2472238886725
OTT,Unaided Brand Awareness (Any Mention) - Amazon,0.0249792124,0.029963744463393352,4,0.1184060397305,0.12400432207481897,0.229404588475,0.11099854875000001,0.23941115275000002
OTT,Unaided Brand Awareness (Any Mention) - GrubHub,0.043059793913,0.08309145736505501,4,0.052417731241525004,0.05238113462910542,0.10422053140000001,0.051802800164999996,0.1305808423375
OTT,Unaided Brand Awareness (Any Mention) - Instacart,-0.047666343185,0.10808332330201842,4,0.09130407272624999,0.1366531115845031,0.22063912127500002,0.12933504855,0.317938880925
OTT,Unaided Brand Awareness (Any Mention) - Uber Eats,-0.02663563168,0.03773125165576291,4,0.14641332673,0.19126819037633666,0.33497658055,0.1885632538,0.303037568875
OTT,Unaided Brand Awareness (First Mention),-0.006762722686750001,0.020141631048398577,4,0.12337412352099998,0.1468746447654366,0.252725454025,0.1293513305,0.1787540926725
Other,Affinity ,0.010948943898193618,0.10206569248060612,282,0.2398394357292583,0.2861844408342372,0.48941663975638294,0.24957720403049644,0.1861224737835532
Other,Aided Awareness,-0.004325182357279077,0.06721173690280426,282,0.37266336103911457,0.45552641490296797,0.7747672896648936,0.40210392862730493,0.15054033477014186
Other,BA MDS: Is different,0.0009839663163212766,0.09507960446544919,282,0.2740093986429415,0.335061072344748,0.5655238608060283,0.2915144621606383,0.21903717772439715
Other,BA MDS: Meets needs,-0.005225982358014184,0.08808886422313024,282,0.2753125819560061,0.34316172840360226,0.5749748536074468,0.29966227165248227,0.19871978138185106
Other,BA MDS: Sets trends,0.004437289374684398,0.09197865506422494,282,0.2877035877465532,0.3481165568353892,0.5907646987780142,0.30306111103191485,0.21000078667524824
Other,BA: Has my favorite brands or stores,-0.0021223297066836886,0.09968847415764394,282,0.2855432815017209,0.35399953535915035,0.5986801889737589,0.3131369074723404,0.19242248202892906
