METRIC_NAME,MEAN_LIFT,STD_LIFT,COUNT,AVG_SIG_LEVEL
DashPass Benefit Awareness: $0 Delivery + 1 Other Benefit (DP aware non-users),0.027506899718105476,0.32823563595839705,347,0.13246054995678386
DashPass Worth,0.02405483047136945,0.21352508098965226,347,0.15319706022078963
More than Restaurant Consideration: Fresh Food & Produce,0.018001152157578186,0.16487279231163943,347,0.17175664202275648
DashPass Benefits Awareness: Max [HBO] subscription included at no extra cost,0.01528304387813977,0.1407649040704621,347,0.2199219674564749
"DashPass Benefits: Provides more value than other non-delivery subscription services (e.g. TV streaming, audio streaming, fitness, fashion, etc)",0.01347723733402588,0.11985147468488498,347,0.18117904192587608
More than Restaurant Consideration: Pet Supplies,0.0133091599810951,0.5306841229906234,347,0.25506121528164266
DashPass Benefit Awareness: $0 Delivery + 1 Other Benefit (DP users),0.012440781258558443,0.13731208606275702,347,0.15709003473790317
DashPass Benefits Awareness: Ability to add someone in your household to your DashPass membership for free,0.012005990578669452,0.15684118437984756,347,0.17657113474982708
BA: Is an essential part of my life,0.010916271190794524,0.09742913891160664,347,0.18431966873345534
DashPass Aided Awareness (DD aware non-users),0.010743706442546111,0.16275397612879197,347,0.163687443049219
Affinity ,0.009891767011725073,0.09275177201279067,347,0.16891234402784439
BA MDS: Sets trends,0.008653100232348705,0.11995915690189494,347,0.1899319490742651
DashPass Benefits Awareness: Discounted rides with Lyft,0.008398305820554178,0.16097693915403097,347,0.1681992798612392
DashPass Benefits: Consistently adds valuable perks and benefits for members,0.007960953068649567,0.1449534995338239,347,0.16151027580113833
Unaided Brand Awareness (Any Mention) - Instacart,0.007040441443235447,0.2225683586012848,347,0.15952994863541212
More than Restaurant Consideration: Flowers,0.006767911647575187,0.18705045470094114,347,0.17997535179574034
DashPass Benefits Awareness: $0 delivery fees on eligible orders,0.006050102291111239,0.10154171850759552,347,0.18919737778181556
More than Restaurant Consideration: Alcoholic Beverages,0.005471057816449856,0.1523052261153294,347,0.1946121021412536
DashPass Benefits: Save more than other delivery subscription services,0.005260175510348703,0.09644456697391693,347,0.1662251158288444
Brand Favorability,0.0051937074549784435,0.07821566754276219,347,0.20338734355234583
DashPass Benefits Awareness: $0 delivery fees + 1 Other Benefit,0.004391986940182996,0.09911734841645148,347,0.1802529636085994
BA MDS: Is different,0.004171433960797118,0.09503564622550531,347,0.20077956559994234
First Choice Consideration,0.003515110960218155,0.1444051993919802,347,0.15037043445195966
DashPass Benefits: Makes members' lives better,0.0025084874094694815,0.11725117865870557,347,0.17551226269793083
More than Restaurant Consideration: Household Essentials,0.001811021118401441,0.14845082606699583,347,0.1511353459977435
BA: Makes my life easier,0.0008784911168783861,0.07525854953690467,347,0.16457499000276657
DashPass Benefits: Saves subscription members more money than non-members who use the delivery service,-0.00017431507257812667,0.10337604789442738,347,0.15852227230508645
Consideration (Top 2 Box),-0.0009418911285873198,0.06936912011009141,347,0.1754059730049193
BA: Has my favorite brands or stores,-0.0010514038370340064,0.09150139305953309,347,0.1707380481574294
BA: Is a brand I trust,-0.0016983194470974062,0.07606746429454342,347,0.18266577401959655
More than Restaurant Consideration: Prepared Restaurant Food,-0.0023100574443832853,0.10042008412652392,347,0.18748273647354466
More than Restaurant Consideration: Packaged Food & Non-Alcoholic Beverages,-0.0029525833720835722,0.20924748717723968,347,0.22761907993930836
More than Restaurant Aided Awareness: Personal Care & Beauty,-0.0030451458900144675,0.19415944068978006,347,0.21495218932446944
BA: Offers a wide selection of brands or stores across a variety of categories,-0.0031336955414430546,0.08367052628413175,347,0.19027761789775216
BA MDS: Meets needs,-0.003508235797458213,0.0813140995965045,347,0.18121141673453026
Aided Awareness,-0.0036886001601234295,0.06068543980515952,347,0.1292585922781758
More than Restaurant Aided Awareness: Household Essentials,-0.0038518939860887613,0.14849220908430194,347,0.17706407050488185
DashPass Aided Awareness,-0.0038874618041248132,0.07492871649837266,347,0.1455055658999827
DashPass Benefits Awareness: Access to exclusive deals for DashPass members,-0.004097744765393949,0.0953569865250529,347,0.16780846278712105
DashPass Benefits Awareness: Reduced service fees on eligible orders,-0.004207388243057666,0.10985770026835188,347,0.16851462409340345
More than Restaurant Consideration,-0.005179766312814985,0.07647244172698618,347,0.17816752925972623
Brand Familiarity,-0.005243282892250634,0.0739699647495472,347,0.15231583377662247
DashPass Aided Awareness (DD users),-0.005566419292330173,0.08053983748595434,347,0.17155801091647838
More than Restaurant Consideration: Baby Supplies,-0.006285581341488474,0.18342206609780143,347,0.246110605639683
Unaided Brand Awareness (Any Mention) - Amazon,-0.0064863691512727665,0.18038944079772348,347,0.16842006183391642
More than Restaurant Aided Awareness: Packaged Food & Non-Alcoholic Beverages,-0.007266852630291931,0.12854460680966442,347,0.18591581629744958
More than Restaurant Aided Awareness,-0.007281902875427107,0.08752317860663843,347,0.2050009074637291
More than Restaurant Aided Awareness: Alcoholic Beverages,-0.007385983595695965,0.11639832634258084,347,0.19399556174062246
Unaided Brand Awareness (Any Mention) - Uber Eats,-0.007862003454165649,0.12866434039753893,347,0.15141896736916427
More than Restaurant Consideration: Health & Medicine,-0.00867520517506974,0.1401668387332341,347,0.21782589867421903
More than Restaurant Aided Awareness: Pet Supplies,-0.009276456570986743,0.17174662526561757,347,0.22439338034294523
More than Restaurant Aided Awareness: Fresh Food & Produce,-0.009593190966965417,0.1347779002421462,347,0.23520217287232564
More than Restaurant Consideration: Personal Care & Beauty,-0.010943846745500288,0.15408338678091543,347,0.1934850844370317
DashPass Actions – Talked to others,-0.011806594814703171,0.11920911360566629,347,0.21681602011495965
More than Restaurant Aided Awareness: Health & Medicine,-0.011947686757333717,0.20432404961456732,347,0.23674840448623918
More than Restaurant Aided Awareness: Baby Supplies,-0.014498589138000286,0.11343509115097267,347,0.2080680776092069
DashPass Actions – Saw a Deal,-0.015876461887463975,0.10788075535650236,347,0.17807821531116716
More than Restaurant Aided Awareness: Prepared Restaurant Food,-0.016364754822273772,0.09204708626783788,347,0.25507406315587894
More than Restaurant Aided Awareness: Flowers,-0.020985836944974065,0.10872987527525796,347,0.23481442668054756
Unaided Brand Awareness (Any Mention),-0.021296567312420748,0.10815892486498487,347,0.22807118597546974
Unaided Brand Awareness (Any Mention) - GrubHub,-0.023795834265579248,0.294671842524489,347,0.20613882296360228
Unaided Brand Awareness (First Mention),-0.027421668587661728,0.12415229280515915,347,0.19808513928079596
