CHANNEL,METRIC_NAME,TIME_PERIOD,LIFT_mean,LIFT_std,LIFT_count,DELTA_mean,EXPOSED_PERCENT_mean,CONTROL_PERCENT_mean,SIGNIFICANCE_LEVEL_mean,EXPOSED_POPULATION_sum,CONTROL_POPULATION_sum,CV,IS_CONSISTENT
OTT,Affinity ,Unknown,0.007747739565,0.009080591874855087,4,0.29822715290949997,0.59956442085,0.30133726795,0.1908553858,6346,3602,1.172031119357209,False
OTT,Aided Awareness,Unknown,-0.0022220986914825,0.004413312444789574,4,0.454532053035545,0.9219542402,0.46742218715,0.07494781593425,6346,3602,1.9861010051921586,False
OTT,BA MDS: Is different,Unknown,0.0095996600525,0.012149771002739656,4,0.3259056865145,0.659712627375,0.33380694085,0.2389430441,6346,3602,1.2656459641584434,False
OTT,BA MDS: Meets needs,Unknown,-0.0050554395380000006,0.006088721396147671,4,0.32646880837425,0.6787599348,0.352291126425,0.1535083699,6346,3602,1.20439011294287,False
OTT,BA MDS: Sets trends,Unknown,0.0005930045194999999,0.0027441134128983616,4,0.335491770443,0.69087694135,0.3553851709,0.0731384452025,6346,3602,4.627474703248635,False
OTT,BA: Has my favorite brands or stores,Unknown,0.00075389021625,0.0008902991380426988,4,0.3422244032768,0.70596300155,0.363738598275,0.026974912854999998,6346,3602,1.1809400345732353,False
OTT,BA: Is a brand I trust,Unknown,0.0036516482420000003,0.004216851102776355,4,0.3537236814235,0.7218583051,0.36813462365,0.141045861325,6346,3602,1.1547802042583362,False
OTT,BA: Is an essential part of my life,Unknown,0.024301658338,0.04282935138107317,4,0.311146672254,0.614009299125,0.302862626875,0.30183722895,6346,3602,1.7624044740231493,False
OTT,BA: Makes my life easier,Unknown,-0.0010251763857500001,0.0023096667570038,4,0.3539880039751,0.73080374875,0.376815744775,0.0244125430725,6346,3602,2.2529457263240515,False
OTT,BA: Offers a wide selection of brands or stores across a variety of categories,Unknown,-0.0070012283565,0.012002504170378948,4,0.35385012529375004,0.73973562355,0.38588549827499996,0.154576970525,6346,3602,1.7143426209253296,False
OTT,Brand Familiarity,Unknown,0.0020566534515,0.0031514177051994966,4,0.39482812942400003,0.8017394907,0.40691136127500005,0.131646214175,6346,3602,1.5323037057609492,False
OTT,Brand Favorability,Unknown,0.0118694836,0.01531704431962865,4,0.38943047281750004,0.77528881185,0.385858339025,0.337869449075,6346,3602,1.2904558307514449,False
OTT,Consideration (Top 2 Box),Unknown,0.006340598002,0.013431744879466507,4,0.35227457771035,0.712692831675,0.36041825395,0.11226887501999999,6346,3602,2.1183719382982114,False
OTT,DashPass Actions – Saw a Deal,Unknown,0.0377408673275,0.10574874818504647,4,0.1713050553275,0.3282236617,0.156918606375,0.419982051725,6285,3499,2.8019692093295463,False
OTT,DashPass Actions – Talked to others,Unknown,-0.004414812024999999,0.04259922808492852,4,0.151755675555,0.3118707239,0.16011504835,0.30446596722499997,6285,3499,9.649160110034023,False
OTT,DashPass Aided Awareness,Unknown,-0.006642924768250001,0.00963216229715671,4,0.3989517242855,0.81979614985,0.420844425575,0.22622559679999998,6346,3602,1.4499881653325104,False
OTT,DashPass Aided Awareness (DD aware non-users),Unknown,-0.0850353665775,0.12663375994788698,4,0.04416466347675,0.1089979232,0.064833259725,0.406086458325,6346,3602,1.4891893225682142,False
OTT,DashPass Aided Awareness (DD users),Unknown,0.009431525409500001,0.01655034545652257,4,0.35478706080625,0.710798226675,0.35601116585000003,0.172760405725,6346,3602,1.7547898921898746,False
OTT,DashPass Benefit Awareness: $0 Delivery + 1 Other Benefit (DP aware non-users),Unknown,-0.09477503545,0.12813320574997722,4,0.0413242052275,0.10479497292500001,0.0634707677,0.448274042375,6346,3602,1.3519721215781113,False
OTT,DashPass Benefit Awareness: $0 Delivery + 1 Other Benefit (DP users),Unknown,0.020816917679999998,0.07130233782001036,4,0.1600577450425,0.3304617282,0.170403983175,0.3787182434,6346,3602,3.425211115116941,False
OTT,DashPass Benefits Awareness: $0 delivery fees + 1 Other Benefit,Unknown,0.013124052689500001,0.032656255703499115,4,0.30878432094225,0.617795700525,0.3090113796,0.266466743075,6346,3602,2.4882752664979777,False
OTT,DashPass Benefits Awareness: $0 delivery fees on eligible orders,Unknown,0.01160392785425,0.0271314982867691,4,0.317647207216,0.6365835591,0.31893635185,0.21637262557499998,6346,3602,2.338130556097179,False
OTT,DashPass Benefits Awareness: Ability to add someone in your household to your DashPass membership for free,Unknown,0.0011377469825,0.005080579339362014,4,0.24330355537099999,0.499868650975,0.25656509562499996,0.0554223441875,6346,3602,4.465473798223863,False
