CHANNEL,METRIC_CLEAN,LIFT_mean,LIFT_std,LIFT_count,LIFT_min,LIFT_max,DELTA_mean,DELTA_std,CONTROL__mean,EXPOSED__mean,CONTROL_N_sum,EXPOSED_N_sum,STATISTICAL_SIGNIFICANCE_mean,STATISTICAL_SIGNIFICANCE_min
Social,BA MDS: Meets needs,0.07588541666666666,0.22875963607051278,192,-0.405,2.355,0.04568229166666667,0.12990612034704638,0.6860572916666667,0.7316875,49711,148512,0.6547153397672956,0.011151804
Digital,Brand Favorability,0.07475,0.2747022757716727,192,-1.0,1.667,0.04905729166666667,0.17036038747885587,0.592890625,0.6419739583333334,16012,14533,0.6929717793974359,0.052171675
Social,DashPass Benefits Awareness: $0 delivery fees + 1 Other Benefit,0.073859375,0.18269588502151823,192,-1.0,1.116,0.048776041666666665,0.15768736664997451,0.61675,0.6654947916666667,49711,148512,0.7141675312384106,0.006725472
Any,More than Restaurant Consideration: Health & Medicine,0.07334375,0.32929406734400507,192,-1.0,1.589,0.013333333333333334,0.13760195014649562,0.29622916666666665,0.3095104166666667,15289,108034,0.5043357609333333,0.007131738
Tv,DashPass Benefit Awareness: $0 Delivery + 1 Other Benefit (DP users),0.07299479166666667,0.304506991424063,192,-1.0,3.141,0.024005208333333333,0.09063669479816343,0.34793229166666667,0.3719739583333333,73537,88668,0.6029217736438356,0.012943933
Any,Consideration (Top 2 Box),0.072265625,0.2479512856766774,192,-0.6,2.46,0.05421354166666667,0.16441032573513548,0.6724270833333333,0.726625,15289,108034,0.65171750337,0.013808434
Any,More than Restaurant Aided Awareness: Baby Supplies,0.07132812499999999,0.610933387377194,192,-1.0,5.924,-0.00890625,0.13351538359705245,0.34540104166666663,0.33646354166666664,15289,108034,0.6194780345192308,0.004662004
Any,Brand Favorability,0.07055208333333333,0.1468929780872585,192,-0.569,0.728,0.06655208333333333,0.1579515380507589,0.6968958333333334,0.7634010416666667,15289,108034,0.7345289209183674,0.005735756
Any,BA: Makes my life easier,0.06866666666666667,0.1597122521611958,192,-0.6,0.954,0.057026041666666666,0.1533568003670021,0.6812604166666666,0.73825,15289,108034,0.6769761656868687,0.030263278
Any,DashPass Actions – Talked to others,0.06818229166666666,0.4334828669222576,192,-1.0,4.487,0.006026041666666668,0.1184574253558885,0.09374479166666666,0.09975520833333333,1979,20815,0.488468777875,0.100050953
Digital,BA: Offers a wide selection of brands or stores across a variety of categories,0.06808854166666667,0.24337626800108178,192,-1.0,1.017,0.03860416666666667,0.15167770178292553,0.6117447916666666,0.6503177083333334,16012,14533,0.5190332385,0.007692464
Any,BA MDS: Meets needs,0.067828125,0.16919231178498206,192,-0.6,0.852,0.051484375,0.14619398203364395,0.638609375,0.690171875,15289,108034,0.7464110669901961,0.011795607
Digital,First Choice Consideration,0.06703645833333333,0.5082446577896161,192,-1.0,2.517,0.004135416666666667,0.1124205008033348,0.16515625,0.16928645833333333,16012,14533,0.43151360258108107,0.018543639
Tv,DashPass Benefits: Save more than other delivery subscription services,0.06667708333333335,0.28442708079370826,192,-1.0,2.341,0.03999479166666667,0.1768649171701692,0.6196666666666667,0.6595729166666667,73537,88668,0.769942400448125,9.35967e-05
Tv,More than Restaurant Aided Awareness,0.06577083333333333,0.3167645988459324,192,-1.0,3.0,0.03171875,0.15730925976180266,0.740953125,0.7727343750000001,73537,88668,0.7694022603024692,0.007227982
Social,More than Restaurant Aided Awareness: Household Essentials,0.06523958333333334,0.6845347064165782,192,-1.0,7.609,-0.006786458333333333,0.11968401339250148,0.3931927083333333,0.3863854166666667,49711,148512,0.5737309282687499,0.011410426
Tv,BA: Is an essential part of my life,0.06294270833333333,0.44387543869586127,192,-1.0,5.479,0.025265625,0.12282915929201095,0.647546875,0.6728177083333334,73537,88668,0.7078371419938272,0.011839108
Social,DashPass Actions – Saw a Deal,0.061640625,0.29157614833545864,192,-0.5,2.945,0.012666666666666666,0.061520892746514136,0.10623437499999999,0.11888541666666667,25768,81286,0.6725216880363636,0.066593114
Social,Brand Favorability,0.06097916666666667,0.24598095014848426,192,-0.596,2.176,0.03790104166666667,0.13205875100191858,0.7629270833333334,0.8008593749999999,49711,148512,0.6124425016624204,0.006335682
Social,DashPass Benefits Awareness: $0 delivery fees on eligible orders,0.060661458333333335,0.1891873637732571,192,-1.0,1.116,0.041421875000000004,0.1604712110359209,0.63478125,0.6761875,49711,148512,0.6674835350662253,0.005318614
Tv,BA MDS: Meets needs,0.060572916666666664,0.2592647980212879,192,-1.0,3.0,0.039588541666666664,0.1342894524554854,0.7022395833333334,0.7417916666666667,73537,88668,0.7539651077407408,0.006674296
Digital,BA MDS: Sets trends,0.06022916666666667,0.3252511708987834,192,-1.0,2.333,0.028583333333333332,0.1546363521173484,0.511296875,0.5398802083333333,16012,14533,0.5759696696329114,0.012393818
Tv,BA: Is a brand I trust,0.05963020833333333,0.3616659297433602,192,-1.0,3.25,0.027640625000000002,0.13745358480038428,0.747390625,0.7750312500000001,73537,88668,0.7880003096728395,0.018592017
Digital,More than Restaurant Consideration: Alcoholic Beverages,0.05785416666666667,0.5168103539714318,192,-1.0,3.914,-0.002041666666666667,0.13324715583276744,0.249140625,0.24714583333333331,16012,14533,0.5700093473717949,0.007823876
Social,DashPass Actions – Talked to others,0.056838541666666666,0.16435821552140453,192,-0.833,1.3,0.014010416666666666,0.07798388809183422,0.10202604166666666,0.116015625,25768,81286,0.8244618669818182,0.015338581
Digital,DashPass Benefits: Consistently adds valuable perks and benefits for members,0.05655729166666667,0.3664498234960285,192,-1.0,2.517,0.008317708333333331,0.15919193229498085,0.40966145833333334,0.41799479166666664,16012,14533,0.6777707174871795,0.006315419
Social,Consideration (Top 2 Box),0.05542708333333334,0.2683453368072807,192,-0.667,2.176,0.02791666666666667,0.1382346943264689,0.7284114583333333,0.756328125,49711,148512,0.5373807528050315,0.004206844
Social,DashPass Benefits: Consistently adds valuable perks and benefits for members,0.05497916666666666,0.22776730934811273,192,-1.0,1.726,0.033125,0.14170596724144138,0.6359583333333333,0.669109375,49711,148512,0.6416406204649682,0.004465164
