CAMPAIGN_COUNT,CONTROL_HITS,CONTROL_MISSES,CONTROL_PERCENT,CONTROL_POPULATION,CREATIVE_FORMAT_TYPES,DELTA,EXPOSED_HITS,EXPOSED_MISSES,EXPOSED_PERCENT,EXPOSED_POPULATION,LIFT,METRIC_ID,METRIC_NAME,SIGNIFICANCE_LEVEL,FILTER_ID
1,0,0,0,0,,0.38028169,27,44,0.38028169,71,0,955940,More than Restaurant Aided Awareness: Flowers,0,24968935
1,0,0,0,0,,0.394366197,28,43,0.394366197,71,0,955941,More than Restaurant Aided Awareness: Baby Supplies,0,24968935
1,0,0,0,0,,0.422535211,30,41,0.422535211,71,0,955942,More than Restaurant Aided Awareness: Pet Supplies,0,24968935
1,0,0,0,0,,0.366197183,26,45,0.366197183,71,0,955943,More than Restaurant Aided Awareness: Health & Medicine,0,24968935
1,0,0,0,0,,0.605633803,43,28,0.605633803,71,0,955944,More than Restaurant Consideration: Prepared Restaurant Food,0,24968935
1,0,0,0,0,,0.422535211,30,41,0.422535211,71,0,955945,More than Restaurant Consideration: Fresh Food & Produce,0,24968935
1,0,0,0,0,,0.408450704,29,42,0.408450704,71,0,955946,More than Restaurant Consideration: Alcoholic Beverages,0,24968935
1,0,0,0,0,,0.535211268,38,33,0.535211268,71,0,955948,More than Restaurant Consideration: Packaged Food & Non-Alcoholic Beverages,0,24968935
1,0,0,0,0,,0.38028169,27,44,0.38028169,71,0,955949,More than Restaurant Consideration: Personal Care & Beauty,0,24968935
1,0,0,0,0,,0.338028169,24,47,0.338028169,71,0,955951,More than Restaurant Consideration: Flowers,0,24968935
1,0,0,0,0,,0.394366197,28,43,0.394366197,71,0,955953,More than Restaurant Consideration: Pet Supplies,0,24968935
1,0,0,0,0,,0.746478873,53,11,0.746478873,71,0,964357,DashPass Benefits Awareness: $0 delivery fees + 1 Other Benefit,0,24968935
1,0,0,0,0,,0.112676056,8,62,0.112676056,71,0,964359,DashPass Benefit Awareness: $0 Delivery + 1 Other Benefit (DP aware non-users),0,24968935
1,0,0,0,0,,0.788732394,56,14,0.788732394,71,0,964361,DashPass Aided Awareness (DD users),0,24968935
1,0,0,0,0,,0.183098592,13,26,0.183098592,71,0,964363,Unaided Brand Awareness (Any Mention) - Instacart,0,24968935
1,0,0,0,0,,0.14084507,10,27,0.14084507,71,0,964365,Unaided Brand Awareness (Any Mention) - GrubHub,0,24968935
1,0,0,0,0,,0.366197183,26,45,0.366197183,71,0,1009176,DashPass Actions – Talked to others,0,24968935
1,0,0,0,0,,0.366197183,26,44,0.366197183,71,0,1022757,First Choice Consideration,0,24968935
1,0,0,0,0,,0.788732394,56,15,0.788732394,71,0,1059334,More than Restaurant Consideration,0,24968935
1,219.0136951,29.14902097,0.882540692,282,,0.011869246,432,51,0.894409938,483,0.013448951,2,Aided Awareness,0.387305889,22237599
1,59.37944543,188.7832706,0.239276255,282,,-0.040518491,96,387,0.198757764,483,-0.169337703,109095,Unaided Brand Awareness (First Mention),0.812793514,22237599
1,184.1497052,34.86398983,0.742052264,282,,0.017782105,367,65,0.759834369,483,0.023963413,955547,BA: Offers a wide selection of brands or stores across a variety of categories,0.417938682,22237599
1,168.658183,50.35551202,0.679627406,282,,0.030517521,343,89,0.710144928,483,0.044903312,955549,BA: Has my favorite brands or stores,0.625267877,22237599
